id,area,screen_or_action,audience,existing_anchor,required_change,phase_batch,rules,checks,status,evidence
UI01,Access,Sign in / sign out / session expiry,Both,SignIn; auth API; lib/api,"Reskin; preserve session, CSRF, errors and redirect",01B,S01 S06 S07,AC01 AC02,Not started,
UI02,Access,First-run bootstrap,Admin,FirstRun; /api/auth/bootstrap,Preserve reachable setup only when needed,01B,S07 A04,AC01,Not started,
UI03,Access,Invitation acceptance and password reset,Both,AcceptInvitation; ResetPassword; auth API,Reskin token/expired/used/error states; no fake acceptance,02A,A04 S06,AC03,Not started,
UI04,Application,"Apply, review required fields, submit, waiting state",Model,Apply; applications API; AffiliatePortal,Optional height/weight plus approved fields; validated persistence,02A,A04 A05 M03,AC03 AC04,Not started,
UI05,Models,"Invite/create model, applications list, code verification, approve",Admin,InviteModel; Affiliates; affiliates/codes/applications services,Connect real setup actions and approval blockers,02A,A04 H01,AC03 AC05,Not started,
UI06,Models,Directory search/status/paging/summary/open,Admin,Affiliates; /api/affiliates,Approved concise directory; preserve active/inactive/archive history,02A,A03 A04,AC05 AC06,Not started,
UI07,Models,Shared profile Overview and local month navigation,Admin,AffiliateDetail; affiliates API,Same profile from every source; local period selection,02B,A03 S07,AC07,Not started,
UI08,Models,Profile contact/shipping/measurement details,Admin,AffiliateDetail; affiliate model,Add permitted contact data; measurements read-only; D07,02B,A05 W03,AC04 AC08,Not started,
UI09,Models,Status/code replacement/verification and history,Admin,affiliates PATCH/codes/recheck-code/replace-code,Retain period attribution and inactive history; read-only Shopify,02A,A04 F15,AC05 AC06,Not started,
UI10,Models / Settings,"Selected-month terms, repeated save, mixed selection",Admin,Compensation; compensation service,Atomic month assignment; split/preserve periods; locked live approvals,02C,H04 H05,AC09 AC10 AC11,Not started,
UI11,Settings / Models,"Historical setup coverage, target outcomes, readiness",Admin,Existing pay-history design; compensation/portal/payroll,"Per-month readiness and setup mode, finalized only in phase09",02C/04B/09A,H01 H02 H03 H06,AC12 AC13 AC14,Not started,
UI12,Products,Active/All catalogue; name search/pagination/open,Admin,New product API; Shopify client/jobs,Real product/variant/media sync; preserve retired products,03A/03C,W01 W02,AC15 AC16,Not started,
UI13,Products,Product roster grouped by gifting status,Admin,New recipient and wardrobe services,"Four groups, counts, alphabetical model search, order reference",03B/03C,W02 W06,AC17 AC18 AC19,Not started,
UI14,Products,Open shared model or referenced shipment/order,Admin,Shared profile plus new shipment lookup,Context-preserving details; no customer commission PII leakage,03C,W02 S07,AC07 AC18,Not started,
UI15,Products,Feature request edit/show/hide/remove/eligible preview,Admin,New promotion resource,"Passive request, Received/Processing audience only",03C,W09 W10,AC20 AC21,Not started,
UI16,Models,Profile Wardrobe and not-received products,Admin,New /affiliate wardrobe data,Same product history as model; size visible inside profile,03C,W06 W08,AC18 AC19 AC22,Not started,
UI17,Wardrobe,Received products/photos/sizes and incoming/failed section,Model,New self-owned wardrobe data,"Real images, preserved historic items, correct ownership",03C,W01 W08,AC19 AC22 AC23,Not started,
UI18,Wardrobe,Eligible feature request cards,Model,New self promotion response,Server-filtered; no Done/ack; section disappears if empty,03C,W09 W10,AC20 AC21,Not started,
UI19,Wardrobe,Top sellers preview and all products selling with code,Model,New attributed line-item analytics,Separate from possessions; price/discount/quantity correctness,07B,W11 M02,AC24 AC25,Not started,
UI20,Data support,Unmatched recipient / incomplete backfill resolution,Authorized staff,Jobs/operations plus new restricted matching data,"Bounded diagnostic/resolution path, no new courier app",03B/08A,W03 W04 W05 W12,AC16 AC17 AC23,Not started,
